编号,姓名,职业,分支,出身,组织,部署花费,标签,天赋
58,玛露西尔,术师,驭械术师,北方大陆,无,32,远程位，群攻，治疗，控场,攻击造成群体法术伤害
59,玛恩纳,近卫,强攻手,卡西米尔,无,10,近战位，输出，爆发,通常不攻击且阻挡数为0，技能未开启时40秒内攻击力逐渐提升至+200%，技能结束时重置攻击力
60,逻各斯,术师,中坚术师,卡兹戴尔,罗德岛-精英干员,19,远程位，输出,攻击造成法术伤害
61,流明,医疗,疗养师,伊比利亚,无,23,远程位，治疗，支援,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%
62,令,辅助,召唤师,炎,炎-岁,12,召唤，支援，控场，远程位,攻击造成法术伤害，可以使用召唤物协助作战
63,铃兰,辅助,凝滞师,东国,无,16,远程位，减速，支援，输出,攻击造成法术伤害，并对敌人造成短暂的停顿
64,灵知,辅助,削弱者,谢拉格,咯兰贸易,13,削弱，远程位,攻击造成法术伤害
65,琳琅诗怀雅,特种,行商,龙门,无,9,近战位，快速复活，爆发,再部署时间减少，撤退时不返还部署费用，在场时梅3秒消耗3点部署费用（不足时自动撤退）
66,林,术师,阵法术师,龙门,无,22,远程位，群攻，防护,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
67,蕾缪安,狙击,神射手,拉特兰,无,20,远程位，输出，爆发,优先攻击范围内防御力最低的敌人单位
68,老鲤,特种,行商,炎,无,9,近战位，快速复活，生存，输出,再部署时间减少，撤退时不返还部署费用，在场时梅3秒消耗3点部署费用（不足时自动撤退）
69,莱伊,狙击,猎手,雷姆必拓,无,19,远程位，输出,攻击时需要消耗子弹且攻击力提升至120%，不攻击时会缓慢地装填子弹（最多8发）
70,傀影,特种,处决者,维多利亚,无,10,近战位，快速复活，控场，输出,再部署时间大幅减少
71,空弦,狙击,速射手,拉特兰,无,12,远程位，输出,优先攻击空中单位
72,刻俄柏,术师,中坚术师,玻利瓦尔,无,19,远程位，输出，控场,攻击造成法术伤害
73,凯尔希,医疗,医师,罗德岛,无,20,远程位，召唤，治疗,恢复友方单位生命
74,卡涅利安,术师,阵法术师,萨尔贡,无,22,远程位，群攻，防护,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
75,酒神,辅助,巫役,维多利亚,无,16,远程位，元素，控场,攻击造成法术伤害，可以造成元素损伤
76,锏,近卫,剑豪,莱塔尼亚,喀兰贸易,21,近战位，爆发，输出，削弱,普通攻击连续造成两次伤害
77,缄默得克萨斯,特种,处决者,哥伦比亚,企鹅物流,10,近战位，快速复活，输出,再部署时间大幅度减少
78,假日威龙陈,狙击,散射手,龙门,无,30,远程位，输出，群攻,攻击范围内的所有敌人，对自己前方一横排的敌人的攻击力提升至150%
79,棘刺,近卫,领主,伊比利亚,无,18,近战位，输出，防护,可以进行远程攻击，但此时攻击力降低至80%
80,霍尔海雅,术师,中坚术师,哥伦比亚,无,19,远程位，输出，控场,攻击造成法术伤害
81,灰烬,狙击,速射手,未知,无,12,远程位，输出,优先攻击空中单位
82,煌,近卫,强攻手,维多利亚,罗德岛-精英干员,20,近战位，输出，生存,同时攻击阻挡的所有敌人
83,荒芜拉普兰德,术师,驭械术师,叙拉古,无,20,远程位，输出，削弱,操作浮游单元对敌人造成法术伤害；浮游单元连续攻击同一敌人是伤害提升（最高造成干员110%攻击力的伤害）
84,鸿雪,狙击,重射手,乌萨斯,无,18,远程位，输出,高精度的近距离射击
85,黑键,术师,秘术师,莱塔尼亚,无,23,输出，远程位,攻击造成法术伤害，在找不到目标时2可以将攻击能量储存起来之后一齐发射（最多3个）
86,黑,狙击,重射手,雷姆必拓,汐斯塔,18,远程位，输出,高精度的近距离射击
87,赫拉格,近卫,武者,乌萨斯,无,22,近战位，输出，生存,不会成为其他角色的治疗目标，但每次攻击到敌人后恢复自身30生命
88,赫德雷,近卫,重剑手,卡兹戴尔,巴别塔,22,近战位，输出,同时攻击阻挡的所有敌人
89,号角,重装,要塞,维多利亚,无,28,近战位，输出，防护,不阻挡敌人时优先远程群体物理攻击
90,归溟幽灵鲨,特种,傀儡师,阿戈尔,深海猎人,16,近战位，输出，快速复活,受到致命伤时不撤退，切换成【替身】作战（替身阻挡数为0），持续20秒后，自身再次替换【替身】
91,歌蕾蒂娅,特种,钩锁师,阿戈尔,深海猎人,16,近战位，位移，输出，控场,技能可以使敌人产生位移，可以放置于远程位
92,风笛,先锋,冲锋手,维多利亚,无,11,近战位，费用回复，输出,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
93,菲亚梅塔,狙击,炮手,拉特兰,无,27,远程位，输出,攻击造成群体物理伤害
94,多萝西,特种,陷阱师,哥伦比亚,莱茵生命,12,远程位，召唤，控场,可以使用陷阱来协助作战，但陷阱无法放置敌人已在的格子中
95,涤火杰西卡,重装,哨戒铁卫,维多利亚,黑钢国际,23,近战位，防护，生存，输出,能够阻挡三个敌人，可以进行远程攻击
96,嵯峨,先锋,尖兵,东国,无,12,近战位，费用回复，输出,能同时阻挡两个敌人
97,淬羽赫默,辅助,护佑者,哥伦比亚,莱茵生命,15,远程位，支援，生存，治疗,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
98,伺夜,先锋,战术家,叙拉古,无,15,远程位，费用回复，控场,可以在范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
99,纯烬艾雅法拉,医疗,行医,莱塔尼亚,无,16,远程位，治疗,恢复友方单位生命，并回复相当于攻击力50%的元素损伤（可以回复未受伤的友方单位的元素损伤）
100,仇白,近卫,领主,炎,无,18,近战位，输出，控场,可以进行远程攻击，但此时攻击力降低至80%
101,斥罪,重装,不屈者,叙拉古,无,36,近战位，生存，输出,无法被友方角色治疗
102,澄闪,术师,驭械术师,维多利亚,无,20,输出，远程位,操作浮游单元对敌人造成法术伤害；浮游单元连续攻击同一敌人是伤害提升（最高造成干员110%攻击力的伤害）
103,陈,近卫,剑豪,龙门,龙门近卫局,19,近战位，爆发，输出,普通攻击连续造成两次伤害
104,百炼嘉维尔,近卫,强攻手,萨尔贡,无,20,近战位，爆发，输出，生存,同时攻击阻挡的所有敌人
105,白秩,辅助,工匠,哥伦比亚,无,19,近战位，支援，输出,能够阻挡两个敌人，使用【支援装置】协助作战
106,安洁莉娜,辅助,凝滞师,叙拉古,无,16,远程位，减速，输出，支援,攻击造成法术伤害，并对敌人造成短暂的停顿
107,艾雅法拉,术师,中坚术师,卡普尼亚,无,19,远程位，输出，削弱,攻击造成法术伤害
108,艾丽妮,近卫,剑豪,伊比利亚,无,21,爆发，输出，控场，近战位,普通攻击连续造成两次伤害
109,艾拉,特种,陷阱师,未知,无,12,远程位，召唤，控场，输出,可以使用陷阱来协助作战，但陷阱无法放置敌人已在的格子中
110,阿斯卡纶,特种,伏击客,卡兹戴尔,S.W.E.E.R,21,近战位，减速，输出,拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
111,阿,特种,怪杰,龙门,无,13,远程位，支援，输出,自身生命会不断流失
112,W,狙击,炮手,卡兹戴尔,巴别塔,23,远程位，输出，控场,攻击造成群体物理伤害
113,司霆惊蛰,近卫,解放者,炎,无,12,近战位，输出，爆发,通常不攻击且阻挡数为0，技能未开启时40秒内攻击力逐渐提升至+200%，技能结束时重置攻击力
114,电弧,辅助,召唤师,乌萨斯,罗德岛-精英干员,12,远程位，召唤，输出，支援,攻击造成法术伤害，可以使用召唤物协助作战
115,Mon3tr,医疗,链愈师,罗德岛,无,18,远程位，治疗，输出，支援,恢复友方单位生命 ，且会在3个友方单位间跳跃，每次跳跃治疗量降低25%
116,斩业星熊,重装,驭法铁卫,东国,龙门近卫局,22,近战位，输出，生存,技能开启时普通攻击会造成法术伤害
117,遥,辅助,护佑者,东国,无,11,远程位，支援，生存，治疗,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
